@relation 'virus-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute header.e_phnum numeric
@attribute header.e_shnum numeric
@attribute SHT_DYNSYM.header.sh_link numeric
@attribute PT_LOAD1.header.p_vaddr numeric
@attribute PT_LOAD2.header.p_offset numeric
@attribute result {virus,begnign}

@data
6,29,5,134512640,2640,virus
6,30,5,134512640,3684,virus
6,29,5,134512640,3600,virus
6,30,5,134512640,3488,virus
7,28,5,134512640,3400,virus
6,30,5,134512640,2944,virus
6,30,5,134512640,3152,virus
7,28,5,134512640,3384,virus
6,30,5,134512640,4704,virus
6,29,5,134512640,8448,virus
6,30,5,134512640,5760,virus
8,35,6,134512640,3396,virus
3,28,0,134512640,406080,virus
6,29,5,134512640,2580,virus
6,30,5,134512640,1920,virus
6,30,5,134512640,4704,virus
6,30,5,134512640,1824,virus
6,30,5,134512640,2952,virus
6,29,5,134512640,2872,virus
6,30,5,134512640,4608,virus
6,29,5,134512640,12576,virus
6,34,5,134512640,12288,virus
6,31,5,134512640,62592,virus
6,30,5,134512640,4320,virus
6,29,5,134512640,3100,virus
6,31,5,134512640,6272,virus
6,30,5,134512640,13760,virus
5,23,4,134512640,2816,virus
6,30,5,134512640,3940,virus
6,30,5,134512640,1856,virus
6,32,5,134512640,29472,virus
6,30,5,134512640,3200,virus
6,34,5,134512640,3136,virus
6,31,5,134512640,20256,virus
5,23,4,134512640,2976,virus
5,26,4,134512640,7836,virus
6,30,5,134512640,3808,virus
6,29,5,134512640,2396,virus
6,30,5,134512640,16444,virus
7,28,5,134512640,5068,virus
6,29,5,134512640,3648,virus
6,31,5,134512640,11200,virus
2,0,0,87490560,49723,virus
6,31,5,134512640,4032,virus
6,31,5,134512640,5312,virus
6,31,5,134512640,5024,virus
6,30,5,134512640,5568,virus
6,29,5,134512640,4832,virus
7,33,5,134512640,4096,virus
6,29,5,134512640,3168,virus
6,27,5,134512640,12384,virus
6,30,5,134512640,2612,virus
6,25,5,134512640,7744,virus
6,30,0,134512640,10464,virus
6,30,5,134512640,11724,virus
6,29,5,134512640,2896,virus
6,30,5,134512640,7328,virus
6,30,5,134512640,7428,virus
6,29,5,134512640,3004,virus
6,30,5,134512640,3776,virus
6,35,5,134512640,12288,virus
6,30,5,134512640,3312,virus
6,30,5,134512640,4352,virus
6,29,5,134512640,2956,virus
6,34,5,134512640,4096,virus
5,24,4,134512640,2920,virus
6,30,5,134512640,1920,virus
7,28,5,134512640,4680,virus
5,23,4,134512640,7656,virus
6,30,5,134512640,4320,virus
6,31,5,134512640,8384,virus
6,30,5,134512640,3424,virus
6,30,5,134512640,1792,virus
6,30,5,134512640,4112,virus
6,30,5,134512640,2168,virus
6,31,5,134512640,7072,virus
3,26,0,134512640,401664,virus
7,33,5,134512640,2560,virus
6,30,5,134512640,11820,virus
6,30,0,134512640,2880,virus
6,30,5,134512640,3104,virus
3,21,0,134512640,252192,virus
6,29,5,134512640,4096,virus
6,29,5,134512640,5312,virus
6,30,0,134512640,3360,virus
6,30,5,134512640,18240,virus
6,30,5,134512640,7680,virus
6,31,5,134512640,4192,virus
2,0,0,134512640,1424,virus
6,34,5,134512640,8192,virus
7,28,5,134512640,4704,virus
7,27,5,134512640,3296,virus
6,30,5,134512640,4544,virus
3,27,0,134512640,356352,virus
5,26,4,134512640,6816,virus
6,30,5,134512640,3040,virus
6,30,5,134512640,4696,virus
3,18,0,134512640,226208,virus
6,30,5,134512640,189088,virus
6,29,5,134512640,3588,virus
4,20,4,134217728,0,virus
6,30,5,134512640,3360,virus
6,32,0,134512640,41892,virus
6,29,5,134512640,4576,virus
6,30,5,134512640,3360,virus
6,26,5,134512640,5680,virus
6,29,5,134512640,2400,virus
5,24,4,134512640,2548,virus
6,30,5,134512640,16500,virus
6,29,5,134512640,2784,virus
6,30,5,134512640,193824,virus
2,5,0,134512640,63940,virus
6,29,5,134512640,5880,virus
6,30,5,134512640,6896,virus
2,13,0,134512640,148008,virus
6,25,5,134512640,1800,virus
6,26,5,134512640,18348,virus
6,30,5,134512640,5920,virus
6,29,5,134512640,4128,virus
5,24,4,134512640,24320,virus
6,27,5,134512640,3648,virus
6,30,5,134512640,3168,virus
6,34,5,134512640,5824,virus
6,29,5,134512640,21376,virus
6,34,5,134512640,20480,virus
7,34,5,134512640,24576,virus
7,33,5,134512640,21216,virus
6,29,5,134512640,5888,virus
6,34,5,134512640,5528,virus
7,28,5,134512640,2404,virus
6,27,5,134512640,6368,virus
8,35,6,134512640,6308,virus
7,36,6,134512640,4900,virus
6,34,5,134512640,5216,virus
6,34,5,134512640,5460,virus
2,8,0,134512640,20480,virus
6,26,5,134512640,14496,virus
6,30,5,134512640,8452,virus
6,29,5,134512640,2420,virus
6,30,5,134512640,60480,virus
6,30,5,134512640,60160,virus
6,30,5,134512640,26272,virus
5,24,4,134512640,25540,virus
6,26,5,134512640,43744,virus
6,30,5,134512640,44224,virus
5,25,4,134512640,34516,virus
5,24,4,134512640,2096,virus
5,22,4,134512640,3456,virus
6,30,5,134512640,20704,virus
4,21,0,134512640,450560,virus
6,30,5,134512640,43328,virus
6,30,5,134512640,26496,virus
6,30,5,134512640,6720,virus
6,30,5,134512640,4084,virus
6,30,5,134512640,44736,virus
5,21,4,134512640,4744,virus
6,30,5,134512640,8408,virus
5,23,4,134512640,13848,virus
6,30,5,134512640,2848,virus
5,24,4,134512640,11688,virus
6,30,5,134512640,3680,virus
6,30,5,134512640,5728,virus
8,28,7,134512640,171780,begnign
8,27,7,134512640,81676,begnign
9,29,7,134512640,102128,begnign
8,28,7,134512640,12036,begnign
8,28,7,134512640,36620,begnign
8,27,7,134512640,28420,begnign
9,30,7,134512640,208076,begnign
8,28,7,134512640,24328,begnign
9,29,7,134512640,102156,begnign
8,28,7,134512640,32524,begnign
8,28,7,134512640,48904,begnign
8,28,7,134512640,3852,begnign
9,29,7,134512640,53000,begnign
9,29,7,134512640,98048,begnign
9,28,7,134512640,110348,begnign
