@relation 'virus-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.WrapperSubsetEval -B weka.classifiers.trees.J48 -F 5 -T 0.01 -R 1 -- -C 0.25 -M 2-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute AddressSub numeric
@attribute InnerSub numeric
@attribute RemoteSub numeric
@attribute QuotientStartNodeId numeric
@attribute QuotientRemoteSub numeric
@attribute QuotientStartGraphNodes numeric
@attribute StartNondirectedGraph numeric
@attribute SumofAbExterSub numeric
@attribute SumofAbInnerSub numeric
@attribute QuotientofAbsolutedNodes numeric
@attribute SumofFinalExterSub numeric
@attribute SumofFinalInnerSub numeric
@attribute MaxGraphNodes numeric
@attribute result {virus,begnign}

@data
80,2,2,14.9,74.5,1.19,135,5,0,16.56,59,2,125,virus
98,0,0,0,0,4.95,23,0,0,12.38,0,0,20,virus
289,191,1,3.164103,617,6.3,456,32,4,5.06,80,37,98,virus
458,2070,422,0,8.79,0,0,0,146,8.61,0,220,427,virus
1,0,6,0,5,1,30,0,0,0,22,0,0,virus
2,0,0,0,0,0,0,0,0,1,0,0,1,virus
89,132,1,2.737864,282,2.85,270,0,6,40.29,56,26,203,virus
5,2,5,15.5,6.2,1.19,26,2,0,10.33,16,2,26,virus
30,0,4,9.875,19.75,1.34,59,0,0,79,44,0,59,virus
2,0,0,0,0,1.5,2,0,0,3,0,0,2,virus
2,0,0,0,0,1,3,0,0,0,0,0,0,virus
103,0,131,0,1.79,0,0,0,0,16.71,0,0,113,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
17,43,38,0,3.87,0,0,0,0,18.38,0,9,72,virus
199,113,194,0,2.91,0,0,0,5,11.08,0,29,365,virus
1,0,0,0,0,0,0,0,0,1,0,0,0,virus
64,0,0,0,0,0,0,0,0,64,0,0,54,virus
16,0,0,0,0,17,1,0,0,17,0,0,15,virus
1556,2178,476,0,9.7,200.7,3981,0,184,10.26,0,262,927,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
270,0,2,1.712389,193.5,13.82,328,0,0,12.48,114,0,111,virus
46,0,2,0,37.5,0,0,2,0,3,25,0,13,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
89,132,1,2.737864,282,2.85,270,0,6,40.29,56,26,203,virus
108,0,3,79,52.67,2.82,61,0,0,52.67,46,0,56,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
1,0,0,2,0,1,2,0,0,0,0,0,0,virus
2,0,0,0,0,1.5,2,0,0,3,0,0,2,virus
90,132,0,1.972414,0,2.47,250,0,7,9.53,62,28,116,virus
4,0,0,5,0,1,5,0,0,0,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
3,0,0,4,0,1.33,3,0,0,4,0,0,3,virus
11,3,25,2.826087,2.6,10.83,6,0,0,65,24,0,37,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
26,0,7,2.206897,9.14,1.36,61,3,0,21.33,27,0,47,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
1,0,0,2,0,2,1,0,0,1,0,0,1,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
57,1,6,1.777778,18.67,8,105,0,0,0,47,0,48,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
64,0,2,0,51,0,0,8,0,3.78,28,0,19,virus
0,0,1,0,1,0,0,0,0,1,0,0,0,virus
118,0,4,1.797872,42.25,1.47,149,1,0,11.27,45,0,115,virus
94,158,96,0,4.8,0,0,0,4,13.17,0,33,272,virus
76,0,6,9.666667,38.67,1.41,232,0,0,0,149,0,165,virus
4,0,0,0,0,0,0,0,0,2,0,0,2,virus
92,0,6,6.292683,43,1.57,258,0,0,0,159,0,164,virus
3360,0,0,0,0,0,0,0,0,12.09,0,0,430,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
3769,0,524,0,8.19,0,0,0,0,12.74,0,0,439,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
1,0,0,0,0,0,0,0,0,1,0,0,0,virus
1,0,2,0,1.5,0,0,0,0,3,0,0,2,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
103,2,5,1.88764,33.6,12,141,0,0,7.64,57,2,59,virus
32,11,98,146,1.49,3.32,117,0,4,7.3,4,3,63,virus
89,132,1,2.737864,282,2.85,270,0,6,40.29,56,26,203,virus
0,0,2,0,1,0,0,0,0,1,0,0,1,virus
11,0,1,11.6,58,2.76,50,7,0,7.25,38,0,21,virus
0,0,0,0,0,0,0,5,0,1,0,0,1,virus
6,0,0,1.4,0,3.5,2,0,0,1.4,0,0,2,virus
2,0,0,1.5,0,3,1,0,0,1,0,0,1,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
577,104,0,6.709091,0,1.08,720,0,3,56.77,55,26,681,virus
8,0,4,0,19.25,0,0,28,0,2.48,37,0,17,virus
32,3,30,3.352941,3.8,2.85,100,2,0,28.5,46,0,49,virus
187,2,11,2.34127,26.82,1.68,217,1,0,3.99,92,1,176,virus
51,0,13,7.0625,8.69,2.69,107,0,0,37.67,48,0,49,virus
773,0,3,1025,341.67,73.21,780,0,0,5.02,248,0,139,virus
1,0,3,0,2,0,0,2,0,1,0,0,1,virus
37,0,5,0,29.4,0,0,37,0,3.68,68,0,48,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
7,0,0,4,0,1.33,6,0,0,4,0,0,6,virus
131,113,8,2.344156,45.12,1.98,348,1,4,72.2,105,32,203,virus
1,0,0,2,0,2,1,0,0,1,0,0,1,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
153,0,10,1.909091,23.1,33,27,0,0,33,67,0,168,virus
34,1,8,2.166667,11.38,3.5,87,0,0,91,47,0,37,virus
507,0,0,0,0,0,0,0,0,12.07,0,0,144,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
1,0,2,0,1.5,0,0,0,0,3,0,0,2,virus
5,0,0,0,0,1,6,0,0,0,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
838,5,14,1.254453,70.43,10.96,305,16,0,9.86,109,2,90,virus
1,0,0,0,0,1,2,0,0,0,0,0,0,virus
6,1,14,2.866667,3.07,1.08,40,1,0,14.33,20,0,40,virus
5,0,0,0,0,0,0,0,0,0,0,0,0,virus
4,0,0,0,0,0,0,0,0,1,0,0,1,virus
3890,0,0,1.000257,0,12.43,3474,0,0,12.39,0,0,428,virus
3835,0,517,0,8.42,0,0,0,0,10.77,0,0,388,virus
1,0,0,2,0,2,1,0,0,1,0,0,1,virus
8,2,8,5,6.25,3.85,13,23,1,1.52,8,0,13,virus
10,0,0,0,0,5.5,8,0,0,11,0,0,5,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
1,0,0,0,0,0,0,0,0,1,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
2,0,0,0,0,1.5,2,0,0,3,0,0,2,virus
21,0,10,32,6.4,2,61,0,0,21.33,32,0,32,virus
1,0,0,0,0,1,2,0,0,0,0,0,0,virus
20,0,3,60,20,1,60,0,0,0,36,0,0,virus
33,7,93,1.401639,1.84,15.55,11,3,0,2.09,34,0,43,virus
10,4,5,3.636364,8,1.67,24,1,0,6.67,19,0,24,virus
153,0,8,3.228571,28.25,18.83,220,0,0,56.5,64,0,44,virus
260,193,2,3.089474,293.5,5.75,442,25,4,5.99,83,37,102,virus
183,2,1,13.277778,239,1.57,231,0,0,119.5,52,2,152,virus
1,0,0,0,0,0,0,0,0,1,0,0,0,virus
39,0,0,0,0,20,2,0,0,1.05,0,0,2,virus
1,0,0,0,0,1,2,0,0,0,0,0,0,virus
0,0,2,0,1,0,0,0,0,1,0,0,1,virus
109,1,14,7.24,12.93,2.74,83,4,0,18.1,52,0,66,virus
1600,2141,456,0,10.09,200.13,3905,0,185,9.57,0,259,846,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
84,0,5,0,47.2,0,0,52,0,4.29,95,0,82,virus
65,0,0,1.736842,0,16.5,4,0,0,1.06,0,0,4,virus
3806,0,578,1.015752,7.59,4385,1,0,0,12.15,0,0,502,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
871,0,45,3.069182,21.69,976,1,36,0,1.79,23,0,84,virus
3,0,0,0,0,0,0,0,0,0,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
519,19,326,1.548333,2.85,40.39,424,0,6,1.92,56,2,222,virus
24,88,10,5.457143,19.1,1.16,177,0,4,47.75,67,25,165,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
6,1,14,2.866667,3.07,1.08,40,1,0,14.33,20,0,40,virus
31,103,1,5.710526,217,1.9,199,1,1,18.08,75,32,114,virus
3,0,0,0,0,0,0,0,0,1,0,0,1,virus
504,378,5,2.492925,211.4,6.48,877,0,18,12.01,169,67,515,virus
0,0,1,0,26,0,0,25,0,1,0,0,1,virus
29,1,6,1.971429,11.5,3.29,64,0,0,34.5,32,0,40,virus
31,103,1,5.710526,217,1.9,199,1,1,18.08,75,32,114,virus
459,249,1,3.156627,786,112.29,766,0,6,49.12,74,31,560,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
1,0,0,0,0,0,0,0,0,1,0,0,0,virus
149,114,88,1.002398,4.75,19,372,0,4,11.61,0,30,208,virus
64,19,86,0,2.27,0,0,0,1,12.19,0,3,46,virus
11,0,0,22,0,1,22,0,0,0,10,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
17,151,13,4.561404,20,1.29,246,5,3,23.64,71,37,202,virus
1472,186,0,1.165765,0,1.11,1662,0,3,31.33,63,32,1548,virus
37,1,7,1.954545,12.29,3.07,84,0,0,0,40,0,46,virus
7,0,0,3.571429,0,1,25,0,0,0,17,0,0,virus
8,0,0,0,0,0,0,0,0,1.33,0,0,2,virus
3796,0,577,0,7.58,0,0,0,0,12.6,0,0,427,virus
9,0,0,0,0,1.1,20,2,0,11,10,0,20,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
127,177,1,3.268293,402,4.1,300,12,3,4.23,69,35,98,virus
2,0,0,0,0,1,6,0,0,0,3,0,0,virus
3,0,0,0,0,1,4,0,0,0,0,0,0,virus
4,1,1,3.8,19,1.9,16,0,0,0,12,0,10,virus
0,0,2,0,1,0,0,0,0,1,0,0,1,virus
59,0,19,0,4.11,0,0,0,0,6.5,0,0,35,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
9,0,4,0,3.5,2.33,6,0,0,4.67,0,0,6,virus
27,0,0,0,0,1.08,28,0,0,0,0,0,26,virus
144,0,61,0,3.36,0,0,0,0,7.07,0,0,40,virus
1,0,0,0,0,1,2,0,0,0,0,0,0,virus
1,0,5,11.666667,14,70,1,63,0,1.03,0,0,2,virus
83,0,34,0,3.44,0,0,0,0,14.62,0,0,49,virus
6,0,0,0,0,1,7,0,0,0,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
2,0,0,0,0,0,0,0,0,1,0,0,1,virus
108,0,21,0,6.14,0,0,0,0,14.33,0,0,50,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
383,0,98,0,4.91,0,0,0,0,6.09,0,0,132,virus
0,0,2,0,1,0,0,0,0,1,0,0,1,virus
13,0,4,0,14,0,0,17,0,2.8,22,0,24,virus
32,1,6,2.052632,13,4.88,70,0,0,0,38,0,35,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
59,2,1,19.8,99,1.22,91,0,0,33,36,2,81,virus
7,0,0,0,0,1.6,5,0,0,8,0,0,5,virus
15,0,0,0,0,0,0,0,0,15,0,0,6,virus
13,0,37,17,1.38,1.19,43,0,0,0,0,0,43,virus
74,0,6,10.809524,37.83,1.4,227,0,0,0,146,0,162,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
2,0,0,0,0,0,0,0,0,1,0,0,1,virus
245,0,97,0,3.53,0,0,0,0,5.52,0,0,135,virus
5,0,0,2,0,2,3,0,0,2,0,0,3,virus
22,0,0,1.272727,0,1,28,0,0,0,5,0,0,virus
9,2,8,4.636364,6.38,3.92,13,23,1,1.5,8,0,13,virus
384,353,1,2.238095,893,3.2,774,0,27,7.9,127,46,279,virus
3,0,0,0,0,4,1,0,0,4,0,0,3,virus
45,0,4,9,29.25,117,1,0,0,29.25,67,0,78,virus
114,154,1,3.325,399,2.73,383,1,3,30.69,120,47,228,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
209,103,1,3.969697,393,2.18,254,1,2,2.89,65,32,180,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
985,192,3,1.446154,438.67,13.43,532,17,3,1.94,95,38,98,virus
2,0,0,1.5,0,3,1,0,0,1,0,0,1,virus
707,0,19,3.424125,46.32,880,1,3,0,20.47,150,0,169,virus
5,0,0,0,0,1,6,0,0,0,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
16,6,49,1.655172,1.96,6.4,15,14,1,1.43,10,0,15,virus
1289,1159,22,3.852564,136.59,12.95,2035,2,161,3.37,388,135,232,virus
57,9,94,1.564103,1.95,12.2,15,6,2,1.52,16,0,15,virus
1282,372,8,8.552174,245.88,13.76,989,3,20,2.11,260,57,398,virus
0,0,9,0,1.11,5,2,0,0,1.25,0,0,2,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
90,0,21,0,5.29,0,0,0,0,8.54,0,0,58,virus
244,0,67,0,4.64,0,0,0,0,10.72,0,0,134,virus
3,0,0,0,0,4,1,0,0,4,0,0,3,virus
4929,0,471,0,11.46,0,0,0,0,8.61,0,0,430,virus
28,1,1,1.827586,53,5.3,29,0,0,13.25,22,0,17,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
1,0,0,0,0,1,2,0,0,0,0,0,0,virus
53,0,4,3.75,30,1.05,114,0,0,120,62,0,114,virus
175,2,1,14.25,228,6.16,221,1,0,76,48,2,120,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
121,2,1,11.117647,189,1.12,176,4,0,23.62,60,2,169,virus
1,0,0,0,0,1,2,0,0,0,0,0,0,virus
10,0,0,11,0,1.1,10,0,0,11,0,0,10,virus
1,0,1,0,57,0,0,35,0,1.58,20,0,21,virus
117,156,1,2.636364,377,3.81,333,1,3,9.2,87,39,177,virus
142,24,58,0,4.05,0,0,0,0,6.91,0,7,113,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
145,73,80,0,4.48,0,0,0,3,12.79,0,10,142,virus
263,0,123,0,3.14,0,0,0,0,29.69,0,0,182,virus
22,2,15,3.533333,7.07,1.86,100,1,0,17.67,64,1,57,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
1,0,0,2,0,2,1,0,0,1,0,0,1,virus
175,229,115,0,4.61,48.18,489,0,15,23.04,0,55,252,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
321,86,4,1.926154,156.5,1.9,612,0,3,69.56,211,27,330,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
45,0,3,0,26.67,0,0,8,0,2.42,24,0,15,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
40,138,4,6.409091,70.5,1.11,267,3,4,35.25,94,30,254,virus
5,0,0,0,0,1,6,0,0,0,0,0,0,virus
3,0,0,0,0,4,1,0,0,1,0,0,1,virus
0,0,2,0,1,0,0,0,0,1,0,0,1,virus
106,0,6,0,26.5,2.74,64,0,0,39.75,46,0,58,virus
14,0,8,4.636364,6.38,3.92,13,20,0,1.42,8,0,13,virus
1,0,0,0,0,0,0,0,0,1,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
1,0,0,0,0,1,2,0,0,0,0,0,0,virus
296,0,90,0,4.29,0,0,0,0,29.69,0,0,194,virus
13,0,0,0,0,7,8,0,0,14,0,0,4,virus
0,0,0,0,0,1,6,0,0,0,5,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
192,150,66,0,6.18,0,0,0,3,11.66,0,37,213,virus
117,0,47,0,3.49,0,0,0,0,8.63,0,0,57,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
355,260,0,12.068966,0,100,617,0,3,19.44,76,28,257,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
107,0,1,0,182,0,0,2,0,30.33,72,0,71,virus
1,0,0,0,0,1,2,0,0,0,0,0,0,virus
1,0,0,2,0,2,1,0,0,1,0,0,1,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
4854,0,0,0,0,0,0,0,0,14.58,0,0,664,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
47,19,75,0,2.23,0,0,0,1,20.88,0,3,33,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
31,4,17,2.615385,6,7.29,14,2,0,10.2,45,1,15,virus
1781,318,296,0,8.09,599,2157,0,30,11.3,0,46,435,virus
8,0,5,0,14,0,0,32,0,2,25,0,25,virus
3,0,0,7,0,1,7,0,0,0,3,0,0,virus
25,114,1,7.607143,213,2.03,196,0,5,35.5,70,25,105,virus
25,0,3,0,38,0,0,53,0,2.07,33,0,38,virus
11,0,1,11.6,58,2.76,50,7,0,7.25,38,0,21,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
595,100,0,3.411765,0,1.09,734,0,4,50.27,57,24,689,virus
253,123,199,0,3.3,0,0,0,6,8.76,0,29,153,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
1,0,0,0,0,1,2,0,0,0,0,0,0,virus
9,0,0,1.111111,0,1.11,9,0,0,10,0,0,9,virus
2,0,0,0,0,1,3,0,0,0,0,0,0,virus
73,0,4,62.75,62.75,251,1,57,0,3.98,116,0,65,virus
39,235,1,14.346154,373,53.29,358,0,6,41.44,88,27,302,virus
1,0,0,0,0,1,2,0,0,0,0,0,0,virus
27,0,0,0,0,1.08,28,0,0,0,0,0,26,virus
5,0,0,0,0,1,6,0,0,0,0,0,0,virus
2,0,0,0,0,1.5,2,0,0,3,0,0,2,virus
693,0,169,0,5.1,0,0,0,0,11.49,0,0,394,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
256,0,0,0,0,0,0,0,0,6.24,0,0,35,virus
1,0,0,0,0,1,2,0,0,0,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
1,0,0,0,0,1,2,0,0,0,0,0,0,virus
58,200,4,5.728814,84.5,1.97,270,5,10,7.68,65,40,172,virus
32,0,0,1.5,0,3.67,9,0,0,16.5,0,0,9,virus
2,0,0,0,0,1.5,2,0,0,3,0,0,2,virus
2,0,0,0,0,1.5,2,0,0,3,0,0,2,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
2,0,0,1.5,0,3,1,0,0,1,0,0,1,virus
323,0,0,0,0,0,0,0,0,10.77,0,0,206,virus
385,2,15,1.647239,35.8,3.42,478,3,0,9.42,131,2,157,virus
3536,0,411,0,9.6,0,0,0,0,8.21,0,0,488,virus
14,0,58,18.5,1.28,1.07,71,0,0,24.67,1,0,69,virus
3208,0,483,0,7.64,0,0,0,0,13.04,0,0,748,virus
5,0,0,0,0,1,6,0,0,0,0,0,0,virus
85,0,105,1.278947,2.31,16.2,15,5,0,2.02,47,0,51,virus
2,0,0,0,0,0,0,0,0,0,0,0,0,virus
3835,0,517,0,8.42,0,0,0,0,10.77,0,0,388,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
27,0,0,3.866667,0,2,30,1,0,29,29,0,29,virus
15,40,34,0,4.03,0,0,0,0,12.45,0,7,65,virus
290,104,0,3.325926,0,3.43,379,0,3,14.03,53,26,185,virus
4280,0,614,1.000204,7.97,4895,1,0,0,8.82,0,0,712,virus
31,59,53,1.005051,3.75,8.29,186,0,0,15.31,0,11,109,virus
22,59,2,11.916667,71.5,1.13,133,0,2,71.5,59,23,127,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
30,112,52,0,3.73,0,0,0,2,12.12,0,26,109,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
0,0,0,0,0,1,1,0,0,1,0,0,0,virus
116,0,53,0,3.19,0,0,0,0,9.94,0,0,66,virus
2,0,0,0,0,3,1,0,0,1,0,0,1,virus
